ID,NAME,KANA,AGE,PIC,PARTY,PREFEC,DISTRICT,PRBLOCK,Q2_1,Q2_2,Q2_3,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q6_16,Q6_17,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q8,SQ8_1,SQ8_2,SQ8_3,SQ8_4,SQ8_5,SQ8_6,SQ8_7,SQ8_8,SQ8_9,SQ8_10,SQ8_11,SQ8_12,SQ8_13,SQ8_14,SQ8_15,SQ8_16
id_00002KAE,小林 悟,こばやし さとる,57,P_20211018SNSA0003S,5,1,1,NA,3,2,1,2,2,4,3,2,2,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,3,3,2,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0
id_00000FJJ,道下 大樹,みちした だいき,45,P_20210910SNSA0006S,2,1,1,NA,2,4,3,3,5,4,1,5,5,2,2,2,2,3,3,4,5,1,1,1,3,4,3,2,2,4,4,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_ZZZZZ1J6,船橋 利実,ふなはし としみつ,60,P_20210921SNSA0011S,1,1,1,NA,2,3,8,1,2,2,2,1,4,2,2,3,3,3,2,3,2,3,3,3,2,2,3,2,4,3,4,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0
id_00002KWQ,高橋 祐介,たかはし ゆうすけ,41,P_20211011SNSA0018S,1,1,2,NA,2,3,8,2,3,2,3,3,4,2,2,3,2,3,3,3,3,3,3,2,2,2,4,2,3,3,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
id_ZZZZZ04J,松木 謙公,まつき けんこう,62,P_20211015SNSA0021S,2,1,2,NA,2,4,3,4,4,3,2,5,5,1,1,1,1,1,2,4,4,1,1,1,3,3,4,2,3,2,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_ZZZZZ5Y9,山崎 泉,やまざき いずみ,48,P_20211015SNSA0039S,5,1,2,NA,2,3,4,1,2,2,3,2,3,4,2,1,3,5,2,3,1,2,2,1,2,2,3,4,3,3,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
id_00001NHO,高木 宏寿,たかぎ ひろひさ,61,P_20210804SNSA0004S,1,1,3,NA,2,3,8,2,2,2,3,2,3,3,2,4,3,3,2,3,2,4,4,4,2,2,3,3,4,3,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
id_00002KAE,小林 悟,こばやし さとる,57,P_20211018SNSA0003S,5,1,1,NA,3,2,1,2,2,4,3,2,2,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,3,3,2,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0
id_00000FJJ,道下 大樹,みちした だいき,45,P_20210910SNSA0006S,2,1,1,NA,2,4,3,3,5,4,1,5,5,2,2,2,2,3,3,4,5,1,1,1,3,4,3,2,2,4,4,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_ZZZZZ1J6,船橋 利実,ふなはし としみつ,60,P_20210921SNSA0011S,1,1,1,NA,2,3,8,1,2,2,2,1,4,2,2,3,3,3,2,3,2,3,3,3,2,2,3,2,4,3,4,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0
id_00002KWQ,高橋 祐介,たかはし ゆうすけ,41,P_20211011SNSA0018S,1,1,2,NA,2,3,8,2,3,2,3,3,4,2,2,3,2,3,3,3,3,3,3,2,2,2,4,2,3,3,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
id_ZZZZZ04J,松木 謙公,まつき けんこう,62,P_20211015SNSA0021S,2,1,2,NA,2,4,3,4,4,3,2,5,5,1,1,1,1,1,2,4,4,1,1,1,3,3,4,2,3,2,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_ZZZZZ5Y9,山崎 泉,やまざき いずみ,48,P_20211015SNSA0039S,5,1,2,NA,2,3,4,1,2,2,3,2,3,4,2,1,3,5,2,3,1,2,2,1,2,2,3,4,3,3,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
id_00001NHO,高木 宏寿,たかぎ ひろひさ,61,P_20210804SNSA0004S,1,1,3,NA,2,3,8,2,2,2,3,2,3,3,2,4,3,3,2,3,2,4,4,4,2,2,3,3,4,3,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
id_00002KXD,荒井 優,あらい ゆたか,46,P_20210804SNSA0003S,2,1,3,NA,2,1,4,3,4,3,1,3,4,3,2,3,4,2,2,4,3,1,1,1,2,2,3,4,2,4,2,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_00001O4N,小和田 康文,こわだ やすふみ,51,P_20210818SNSA0001S,5,1,3,NA,2,4,3,1,3,4,3,3,4,4,3,1,1,2,3,4,4,3,3,2,1,2,4,3,3,4,3,2,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0
id_00002LCN,大築 紅葉,おおつき くれは,38,P_20210924SNSA0004S,2,1,4,NA,3,1,4,3,5,2,1,5,5,1,3,3,2,2,1,3,4,1,1,1,3,3,4,2,2,2,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
id_ZZZZZ1KM,中村 裕之,なかむら ひろゆき,60,P_20210824SNSA0007S,1,1,4,NA,4,7,2,1,1,1,4,1,5,1,1,2,1,2,4,2,1,5,3,3,1,1,2,1,5,1,5,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
id_00001PQU,大津 伸太郎,おおつ しんたろう,56,P_20211007SNSA0050S,12,1,5,NA,3,7,2,4,2,3,1,1,4,1,1,2,2,2,2,4,5,1,1,1,3,2,2,2,1,2,2,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
