Name,Age,Party,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5
森山佳則,52,11,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,5.0,3.0,1.0,1.0,2.0,5.0,1.0,1.0,3.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,3.0,2.0,4.0,4.0,4.0
高橋はるみ,65,1,2.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,1.0,3.0,4.0,5.0,4.0,2.0,5.0,3.0,4.0,3.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0
畠山和也,47,6,5.0,5.0,4.0,5.0,4.0,3.0,5.0,3.0,5.0,1.0,1.0,3.0,5.0,4.0,2.0,1.0,2.0,4.0,3.0,5.0,5.0,5.0,3.0,4.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0
岩瀬清次,66,12,5.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,5.0,3.0,1.0,5.0,4.0,1.0,5.0,5.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
岩本剛人,54,1,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0
勝部賢志,59,4,5.0,5.0,5.0,5.0,3.0,2.0,5.0,2.0,5.0,1.0,1.0,2.0,4.0,5.0,2.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,1.0,1.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0
中村治,66,16,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
原谷那美,35,5,5.0,5.0,5.0,5.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,3.0,5.0,5.0,2.0,2.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0
山本貴平,44,13,1.0,1.0,1.0,5.0,2.0,2.0,1.0,5.0,2.0,5.0,5.0,3.0,2.0,3.0,1.0,5.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,1.0,2.0,1.0,4.0,5.0,3.0
小山日奈子,53,13,1.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,5.0,1.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0
滝沢求,60,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0
小田切達,61,4,4.0,5.0,5.0,3.0,3.0,3.0,5.0,4.0,5.0,1.0,1.0,3.0,5.0,5.0,2.0,2.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0
横沢高徳,47,3,3.0,3.0,3.0,5.0,2.0,2.0,4.0,2.0,3.0,1.0,1.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0
平野達男,65,1,3.0,4.0,3.0,4.0,2.0,3.0,5.0,2.0,5.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,5.0,3.0,5.0,2.0,4.0,5.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0
梶谷秀一,53,13,2.0,3.0,4.0,5.0,3.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0,5.0
三宅紀昭,57,13,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0
愛知治郎,50,1,2.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,5.0,2.0,5.0,2.0,3.0,3.0,4.0,3.0,2.0,1.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0
石垣のりこ,44,4,3.0,5.0,3.0,4.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,1.0,5.0,3.0,3.0,1.0,1.0,3.0,1.0,5.0,5.0,3.0,1.0,1.0,5.0,1.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0
中泉松司,40,1,2.0,4.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,1.0,2.0,4.0,2.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,2.0,1.0,2.0,2.0,3.0
寺田静,44,3,3.0,5.0,4.0,5.0,2.0,3.0,4.0,2.0,3.0,1.0,1.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,5.0
石岡隆治,45,13,3.0,1.0,1.0,5.0,1.0,1.0,3.0,5.0,5.0,3.0,3.0,3.0,1.0,3.0,1.0,5.0,2.0,3.0,3.0,1.0,5.0,5.0,3.0,1.0,1.0,2.0,5.0,5.0,3.0,2.0,2.0,3.0,3.0,3.0
大沼瑞穂,40,1,2.0,2.0,3.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,2.0,5.0,3.0,2.0,2.0,4.0,4.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,4.0
芳賀道也,61,3,4.0,5.0,4.0,5.0,3.0,3.0,5.0,5.0,5.0,1.0,2.0,1.0,5.0,5.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,5.0,5.0,1.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0
