Q,Title,HTML
Q4_1,防衛力強化,日本の防衛力はもっと強化すべきだ
Q4_2,先制攻撃,他国から攻撃が予想される場合は先制攻撃をためらうべきではない
Q4_3,対北朝鮮,北朝鮮には対話より圧力を優先すべきだ
Q4_4,政府の規模,政府のサービスが悪化しても、お金のかからない小さな政府が良い
Q4_5,公共事業,公共事業による雇用確保は必要だ
Q4_6,財政出動,歳出抑制より景気対策のために財政出動を行うべきだ
Q4_7,農協改革,全農の株式会社化など農協の組織改革を進めるべきだ
Q4_8,外国人労働者,外国人労働者の受け入れを進めるべきだ
Q4_9,治安か人権か,治安維持のためプライバシーや個人の権利の制約は当然だ
Q4_10,夫婦別姓,夫婦が望む場合、結婚後の別姓を法律で認めるべきだ
Q4_11,同性婚,男性同士、女性同士の結婚を法律で認めるべきだ
Q4_12,党議拘束,参院議員の党議拘束を緩和すべきだ
Q5_1,日米安保体制,Ａ. もっと強化すべきだ; Ｂ. 強化には慎重であるべきだ
Q5_2,格差是正,Ａ. 経済競争力向上を優先; Ｂ. 社会的格差の是正を優先
Q5_3,貿易,Ａ. 国内産業を保護すべきだ; Ｂ. 貿易や投資の自由化を進めるべきだ
Q5_4,原発ゼロか存続か,Ａ. いますぐ廃止すべきだ; Ｂ. 電力源の一つとして保つべきだ
Q5_5,財政赤字,Ａ. 財政赤字を心配する必要なし; Ｂ. 国債発行を抑制すべきだ
Q5_6,規制緩和,Ａ. 経済的規制の緩和徹底; Ｂ. 規制緩和には慎重であるべきだ
Q5_7,参院選の合区,Ａ. 一票の格差是正のため、参院選の「合区」は許容されるべきだ; B. 一票の格差は許容されるべきだ
Q6_1,消費税率,消費税率を10％より高くする
Q6_2,年金・医療費,年金・医療費給付を現行水準より抑制する
Q6_3,産業保護,競争力のない産業・企業の保護を現行水準より削減する
Q6_4,基礎的財政収支,基礎的財政収支（プライマリーバランス）の均衡達成を先送りする
Q6_5,日銀の金融緩和,日銀は国債買い入れなど量的金融緩和政策を続ける
Q7,憲法改正,いまの憲法を変える必要があると思いますか
SQ7,,
SQ7_1,,
SQ7_2,,
SQ7_3,,
SQ7_4,,
SQ7_5,,
SQ7_6,,
SQ7_7,,
SQ7_8,,
SQ7_9,,
SQ7_10,,
SQ7_11,,
SQ7_12,,
SQ7_13,,
SQ7_14,,
SQ7_15,,
SQ7_16,,
Q8_1,女性天皇,女性も天皇になれるようにした方がよい
Q8_2,女系天皇,母方だけに天皇の血を引く「女系」天皇を認めてもよい
Q8_3,女性宮家,結婚後も女性皇族が皇室にとどまる「女性宮家」を創設できるようにすべきだ
Q8_4,皇族復帰,戦後に皇籍を離脱した「旧宮家」の男性が皇族に復帰できるようにすべきだ
Q9_1,アベノミクス,【安倍内閣】経済政策全般（アベノミクス）
Q9_2,外交全般,【安倍内閣】外交政策全般
Q9_3,北方領土問題,【安倍内閣】北方領土問題への取り組み
Q9_4,日韓問題,【安倍内閣】日韓問題への対応
Q9_5,統計不正,【安倍内閣】統計不正
